,UTC Time,Lat,Long,Depth,Mag,Network,RMS,ERH,ERZ,GAP,Q,Int,nStat,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Color
15,2020-01-26 02:48,17.9311,-66.9036,9.0,1.35 md,RSPR,0.06,1.43,0.56,223.0,B,I,6,2020-01-26 02:48,17.9435,-68.3823,12.0,4.03,md,11.0,334.0,1.005,0.33,pr,pr2020026002,2020-04-11T18:20:51.040Z,"67km SE of Boca de Yuma, Dominican Republic",earthquake,15.54,22.37,0.01,5,reviewed,pr,pr,Amarillo
16,2020-01-29 11:07,18.1738,-68.523,84.0,3.11 md,RSPR,0.24,5.12,4.58,341.0,C,I,7,2020-01-29 11:07,18.1738,-68.523,84.0,3.11,md,7.0,341.0,1.0648,0.24,pr,pr2020029037,2020-04-18T22:09:58.040Z,"39km S of Boca de Yuma, Dominican Republic",earthquake,5.12,4.58,0.13,2,reviewed,pr,pr,Amarillo
17,2020-01-29 13:22,18.7908,-67.6576,10.0,2.78 md,RSPR,0.71,3.69,31.61,176.0,C,I,12,2020-01-29 13:22,18.7908,-67.6576,10.0,2.78,md,12.0,176.0,0.4438,0.71,pr,pr2020029045,2020-04-18T22:09:59.040Z,"76km NW of San Antonio, Puerto Rico",earthquake,3.69,31.61,0.14,4,reviewed,pr,pr,Amarillo
18,2020-02-02 00:02,18.857,-67.693,10.0,4.2 ml,RSPR,0.72,3.23,31.61,180.0,C,IV,15,2020-02-02 00:02,18.857,-67.693,10.0,4.2,ml,15.0,180.0,0.5187,0.72,pr,pr2020033000,2020-04-18T22:10:12.040Z,"73km NW of San Antonio, Puerto Rico",earthquake,3.23,31.61,0.25,9,reviewed,pr,pr,Amarillo
19,2020-02-02 00:11,18.9366,-67.6088,5.0,3.6 mb,RSPR,0.23,1.09,2.1,189.0,C,I,14,2020-02-02 00:11,18.8986,-67.821,10.0,4.25,md,12.0,321.0,0.6174,0.62,pr,pr2020033002,2021-02-19T19:19:19.893Z,"74km NW of San Antonio, Puerto Rico",earthquake,3.78,31.61,0.18,7,reviewed,pr,pr,Amarillo
20,2020-02-02 00:29,18.9216,-67.6748,22.0,2.52 md,RSPR,0.42,1.4,29.92,186.0,C,I,14,2020-02-02 00:29,18.9216,-67.6748,22.0,2.52,md,14.0,186.0,0.5717,0.42,pr,pr2020033021,2020-04-18T22:10:12.040Z,"79km NW of San Antonio, Puerto Rico",earthquake,1.4,29.92,0.06,3,reviewed,pr,pr,Amarillo
21,2020-02-02 14:22,18.8423,-68.012,8.0,2.37 md,RSPR,0.48,6.41,8.47,330.0,C,I,8,2020-02-02 14:22,18.8423,-68.012,8.0,2.37,md,8.0,330.0,0.7025,0.48,pr,pr2020033053,2020-04-18T22:10:18.040Z,"57km NE of Punta Cana, Dominican Republic",earthquake,6.41,8.47,0.14,5,reviewed,pr,pr,Amarillo
22,2020-02-04 00:24,19.0173,-68.3898,10.0,2.75 md,RSPR,1.02,4.46,31.61,176.0,C,I,14,2020-02-04 00:24,19.0173,-68.3898,10.0,2.75,md,14.0,176.0,0.8436,1.02,pr,pr2020035001,2020-04-18T22:10:22.040Z,"32km NNE of Punta Cana, Dominican Republic",earthquake,4.46,31.61,0.36,8,reviewed,pr,pr,Amarillo
23,2020-02-04 14:45,17.8388,-66.8751,7.0,5.0 ml,RSPR,0.19,1.05,1.24,239.0,C,I,17,2020-02-04 14:45,17.8388,-66.8751,7.0,5.0,ml,17.0,239.0,0.1364,0.19,pr,pr2020035028,2020-06-13T06:59:44.650Z,"20km SSE of Guanica, Puerto Rico",earthquake,1.05,1.24,0.0,0,reviewed,pr,pr,Amarillo
24,2020-02-05 12:33,18.8028,-64.8848,54.0,2.76 ml,RSPR,0.49,6.84,16.94,333.0,C,I,8,2020-02-05 12:33,18.8028,-64.8848,54.0,2.76,ml,8.0,333.0,1.1687,0.49,pr,pr2020036027,2020-04-25T22:17:54.040Z,"59km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.84,16.94,0.0,0,reviewed,pr,pr,Amarillo
